BlockType,ParameterPath,Type,Optional,SuggestedTab,SuggestedControl
ArtistBioBlock,alignment,enum<left|center|right>,true,settings,segmented
ArtistBioBlock,color,string,true,styles,color
ArtistBioBlock,content,string,true,content,text
ArtistBioBlock,fontFamily,string,true,styles,text
ArtistBioBlock,fontSize,string,true,styles,text
ArtistBioBlock,fontWeight,string,true,styles,text
ArtistBioBlock,letterSpacing,string,true,settings,text
ArtistBioBlock,lineHeight,string,true,settings,text (CSS)
ArtistBioBlock,showOnDesktop,boolean,true,settings,toggle
ArtistBioBlock,showOnLg,boolean,true,settings,toggle
ArtistBioBlock,showOnMd,boolean,true,settings,toggle
ArtistBioBlock,showOnMobile,boolean,true,settings,toggle
ArtistBioBlock,showOnSm,boolean,true,settings,toggle
ArtistBioBlock,showOnXl,boolean,true,settings,toggle
ArtistBioBlock,style.backgroundColor,string,true,styles,color
ArtistBioBlock,style.backgroundImageUrl,string,true,styles,media
ArtistBioBlock,style.backgroundPosition,string,true,styles,text (CSS)
ArtistBioBlock,style.backgroundPositionCustom,string,true,styles,text (CSS)
ArtistBioBlock,style.backgroundRepeat,string,true,styles,text
ArtistBioBlock,style.backgroundSize,string,true,styles,text (CSS)
ArtistBioBlock,style.backgroundSizeCustom,string,true,styles,text (CSS)
ArtistBioBlock,style.blendMode,string,true,styles,text
ArtistBioBlock,style.borderRadius,string,true,styles,text (CSS)
ArtistBioBlock,style.canvasAlign,enum<left|center|right>,true,styles,segmented
ArtistBioBlock,style.gap,string,true,styles,text
ArtistBioBlock,style.gradientDirection,string,true,styles,text
ArtistBioBlock,style.gradientFrom,string,true,styles,text
ArtistBioBlock,style.gradientTo,string,true,styles,text
ArtistBioBlock,style.hoverOpacity,number,true,styles,slider+number(0..1,0.01)
ArtistBioBlock,style.hoverScale,number,true,styles,slider+number
ArtistBioBlock,style.hoverShadow,string,true,styles,text
ArtistBioBlock,style.hoverTransitionMs,number,true,styles,number
ArtistBioBlock,style.imageScale,number,true,styles,slider+number
ArtistBioBlock,style.marginBottom,string,true,styles,text
ArtistBioBlock,style.marginLeft,string,true,styles,text
ArtistBioBlock,style.marginRight,string,true,styles,text
ArtistBioBlock,style.marginTop,string,true,styles,text
ArtistBioBlock,style.overlayColor,string,true,styles,color
ArtistBioBlock,style.overlayOpacity,number,true,styles,slider+number(0..1,0.01)
ArtistBioBlock,style.padding,string,true,styles,text
ArtistBioBlock,style.parallax,boolean,true,styles,toggle
ArtistBioBlock,style.widthResp.desktop,string,true,styles,text (CSS)
ArtistBioBlock,style.widthResp.mobile,string,true,styles,text (CSS)
ArtistBioBlock,textTransform,enum<none|uppercase|lowercase|capitalize>,true,settings,segmented
ArtistNameBlock,alignment,enum<left|center|right>,true,settings,segmented
ArtistNameBlock,color,string,true,styles,color
ArtistNameBlock,fontFamily,string,true,styles,text
ArtistNameBlock,fontSize,string,true,styles,text
ArtistNameBlock,fontWeight,string,true,styles,text
ArtistNameBlock,letterSpacing,string,true,settings,text
ArtistNameBlock,lineHeight,string,true,settings,text (CSS)
ArtistNameBlock,showOnDesktop,boolean,true,settings,toggle
ArtistNameBlock,showOnLg,boolean,true,settings,toggle
ArtistNameBlock,showOnMd,boolean,true,settings,toggle
ArtistNameBlock,showOnMobile,boolean,true,settings,toggle
ArtistNameBlock,showOnSm,boolean,true,settings,toggle
ArtistNameBlock,showOnXl,boolean,true,settings,toggle
ArtistNameBlock,style.backgroundColor,string,true,styles,color
ArtistNameBlock,style.backgroundImageUrl,string,true,styles,media
ArtistNameBlock,style.backgroundPosition,string,true,styles,text (CSS)
ArtistNameBlock,style.backgroundPositionCustom,string,true,styles,text (CSS)
ArtistNameBlock,style.backgroundRepeat,string,true,styles,text
ArtistNameBlock,style.backgroundSize,string,true,styles,text (CSS)
ArtistNameBlock,style.backgroundSizeCustom,string,true,styles,text (CSS)
ArtistNameBlock,style.blendMode,string,true,styles,text
ArtistNameBlock,style.borderRadius,string,true,styles,text (CSS)
ArtistNameBlock,style.canvasAlign,enum<left|center|right>,true,styles,segmented
ArtistNameBlock,style.gap,string,true,styles,text
ArtistNameBlock,style.gradientDirection,string,true,styles,text
ArtistNameBlock,style.gradientFrom,string,true,styles,text
ArtistNameBlock,style.gradientTo,string,true,styles,text
ArtistNameBlock,style.hoverOpacity,number,true,styles,slider+number(0..1,0.01)
ArtistNameBlock,style.hoverScale,number,true,styles,slider+number
ArtistNameBlock,style.hoverShadow,string,true,styles,text
ArtistNameBlock,style.hoverTransitionMs,number,true,styles,number
ArtistNameBlock,style.imageScale,number,true,styles,slider+number
ArtistNameBlock,style.marginBottom,string,true,styles,text
ArtistNameBlock,style.marginLeft,string,true,styles,text
ArtistNameBlock,style.marginRight,string,true,styles,text
ArtistNameBlock,style.marginTop,string,true,styles,text
ArtistNameBlock,style.overlayColor,string,true,styles,color
ArtistNameBlock,style.overlayOpacity,number,true,styles,slider+number(0..1,0.01)
ArtistNameBlock,style.padding,string,true,styles,text
ArtistNameBlock,style.parallax,boolean,true,styles,toggle
ArtistNameBlock,style.widthResp.desktop,string,true,styles,text (CSS)
ArtistNameBlock,style.widthResp.mobile,string,true,styles,text (CSS)
ArtistNameBlock,tag,enum<h1|h2|h3>,true,settings,segmented
ArtistNameBlock,textTransform,enum<none|uppercase|lowercase|capitalize>,true,settings,segmented
ArtistPhotoBlock,alignment,enum<left|center|right>,true,settings,segmented
ArtistPhotoBlock,objectFit,enum<none|cover|contain|fill|scale-down>,true,settings,segmented
